epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.9858,2.22255,0.9077,1.6784,0.29536,0.03831,0.04951,0.01768,2.6082,0.69658,1.8494,0.0673087,1.30818e-05,1.30818e-05
2,109.272,1.94827,0.41453,1.41469,0.43142,0.31948,0.29518,0.12247,2.05266,0.4469,1.51451,0.033988,2.57679e-05,2.57679e-05
3,156.481,1.82465,0.35595,1.3249,0.52103,0.4039,0.42057,0.19384,1.98849,0.37451,1.47629,0.000666732,3.78008e-05,3.78008e-05
4,203.402,1.71799,0.32138,1.27442,0.5543,0.43182,0.45774,0.20435,2.05549,0.36477,1.50179,3.706e-05,3.706e-05,3.706e-05
5,250.278,1.69956,0.31346,1.27012,0.63587,0.41729,0.48,0.22509,1.96109,0.36081,1.4404,3.608e-05,3.608e-05,3.608e-05
6,297.259,1.65685,0.29521,1.24603,0.59272,0.45,0.48611,0.24132,1.83918,0.34466,1.40537,3.51e-05,3.51e-05,3.51e-05
7,344.239,1.63341,0.28903,1.22621,0.59589,0.44416,0.47363,0.24062,1.87469,0.34893,1.42053,3.412e-05,3.412e-05,3.412e-05
8,391.127,1.58809,0.2753,1.21634,0.62345,0.43831,0.48914,0.24588,1.85757,0.34443,1.41602,3.314e-05,3.314e-05,3.314e-05
9,438.01,1.58988,0.27229,1.20197,0.66391,0.41234,0.48036,0.24501,1.86344,0.3778,1.41205,3.216e-05,3.216e-05,3.216e-05
10,484.838,1.57073,0.26569,1.20073,0.58951,0.47922,0.4921,0.25225,1.83848,0.3272,1.39342,3.118e-05,3.118e-05,3.118e-05
11,531.798,1.55852,0.26392,1.1942,0.61503,0.4526,0.49363,0.25721,1.80976,0.32963,1.39572,3.02e-05,3.02e-05,3.02e-05
